elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
AAV,53460,30M 0660y,491973.3,166369.5,-0.679574,51.388926,SU9197366369,1
AAV,53570,30M 0770y,491967.8,166268.8,-0.679679,51.388021,SU9196766268,1
AAV,53680,30M 0880y,491955.5,166168.6,-0.679881,51.387123,SU9195566168,1
AAV,53790,30M 0990y,491936.9,166069.6,-0.680175,51.386236,SU9193666069,0
AAV,53900,30M 1100y,491915.3,165971.2,-0.68051,51.385354,SU9191565971,0
AAV,54010,30M 1210y,491893.8,165872.7,-0.680845,51.384473,SU9189365872,0
AAV,54120,30M 1320y,491872.2,165774.3,-0.68118,51.383591,SU9187265774,1
AAV,54230,30M 1430y,491850.6,165675.5,-0.681515,51.382707,SU9185065675,1
AAV,54340,30M 1540y,491829.0,165576.8,-0.681851,51.381823,SU9182965576,1
AAV,54450,30M 1650y,491807.4,165478.1,-0.682187,51.380939,SU9180765478,1
