feature,mutual_info_score
station,0.06253887520620727
hour,0.0509762040537316
dew_point_2m,0.04499252566748635
temperature_2m,0.043350431979036985
is_day,0.03290040622308288
surface_pressure,0.024331297679659913
soil_moisture_0_to_7cm,0.023086794256251153
is_first_station,0.021685348576486296
month,0.0100427729106487
wind_direction_10m,0.008190601797896546
relative_humidity_2m,0.008154018141862673
wind_speed_10m,0.0063430142039240245
is_terminus,0.004198248802789406
day,0.003016648336721328
cloud_cover,0.0025807046419639157
snow_depth,0.002140624780019751
snowfall,0.0014046975503134718
rain,0.001322667349014095
toc,0.0
direction,0.0
