feature,chi_squared_score
hour,13609.37936712541
is_first_station,12123.959772672062
route,8791.604257723617
month,8133.499560911837
direction,6474.783514812471
station,5959.278150866312
toc,5694.529231057078
is_terminus,2302.0727007529968
is_day,2299.9610282463086
day,43.2501230415581
