RID,Date,TOC,EUS Scheduled Departure Time,EUS Actual Departure Time,EUS LC Reason,WFJ Scheduled Arrival Time,WFJ Actual Arrival Time,WFJ Scheduled Departure Time,WFJ Actual Departure Time,WFJ LC Reason,MKC Scheduled Arrival Time,MKC Actual Arrival Time,MKC Scheduled Departure Time,MKC Actual Departure Time,MKC LC Reason,TAM Scheduled Arrival Time,TAM Actual Arrival Time,TAM Scheduled Departure Time,TAM Actual Departure Time,TAM LC Reason,LTV Scheduled Arrival Time,LTV Actual Arrival Time,LTV Scheduled Departure Time,LTV Actual Departure Time,LTV LC Reason,STA Scheduled Arrival Time,STA Actual Arrival Time,STA Scheduled Departure Time,STA Actual Departure Time,STA LC Reason,CRE Scheduled Arrival Time,CRE Actual Arrival Time,CRE Scheduled Departure Time,CRE Actual Departure Time,CRE LC Reason,RUN Scheduled Arrival Time,RUN Actual Arrival Time,RUN Scheduled Departure Time,RUN Actual Departure Time,RUN LC Reason,LIV Scheduled Arrival Time,LIV Actual Arrival Time,LIV LC Reason,EUS Delay Minutes,EUS Delay Classification,MKC Delay Minutes,MKC Delay Classification,CRE Delay Minutes,CRE Delay Classification,LIV Delay Minutes,LIV Delay Classification
202306017633625,2023-06-01,VT,2023-06-01 17:43:00,2023-06-01 17:43:00,,,,,,,,,2023-06-01 18:15:00,2023-06-01 18:17:00,,,,,,,,,,,,,,,,,2023-06-01 19:23:00,2023-06-01 19:23:00,2023-06-01 19:26:00,2023-06-01 19:26:00,,2023-06-01 19:43:00,2023-06-01 19:41:00,2023-06-01 19:44:00,2023-06-01 19:43:00,,2023-06-01 20:04:00,2023-06-01 20:03:00,,0.0,Not Delayed,2.0,Not Delayed,0.0,Not Delayed,-1.0,Not Delayed
202306017633628,2023-06-01,VT,2023-06-01 18:43:00,2023-06-01 18:42:00,,,,,,,,,2023-06-01 19:15:00,2023-06-01 19:15:00,,,,,,,,,,,,,,,,,2023-06-01 20:23:00,2023-06-01 20:18:00,2023-06-01 20:26:00,2023-06-01 20:28:00,,2023-06-01 20:43:00,2023-06-01 20:43:00,2023-06-01 20:44:00,2023-06-01 20:45:00,,2023-06-01 21:05:00,2023-06-01 21:01:00,,-1.0,Not Delayed,0.0,Not Delayed,2.0,Not Delayed,-4.0,Not Delayed
202306017633632,2023-06-01,VT,2023-06-01 19:43:00,2023-06-01 19:42:00,,,,,,,2023-06-01 20:14:00,2023-06-01 20:12:00,2023-06-01 20:15:00,2023-06-01 20:15:00,,,,,,,,,,,,,,,,,2023-06-01 21:24:00,2023-06-01 21:29:00,2023-06-01 21:26:00,2023-06-01 21:31:00,,2023-06-01 21:43:00,2023-06-01 21:46:00,2023-06-01 21:44:00,2023-06-01 21:49:00,,2023-06-01 22:04:00,2023-06-01 22:05:00,,-1.0,Not Delayed,0.0,Not Delayed,5.0,Mild Delay,1.0,Not Delayed
202306017633636,2023-06-01,VT,2023-06-01 20:43:00,2023-06-01 20:42:00,,,,,,,2023-06-01 21:14:00,2023-06-01 21:12:00,2023-06-01 21:15:00,2023-06-01 21:15:00,,,,,,,,,,,,,,,,,2023-06-01 22:24:00,2023-06-01 22:23:00,2023-06-01 22:26:00,2023-06-01 22:26:00,,2023-06-01 22:43:00,2023-06-01 22:40:00,2023-06-01 22:44:00,2023-06-01 22:43:00,,2023-06-01 23:04:00,2023-06-01 23:00:00,,-1.0,Not Delayed,0.0,Not Delayed,0.0,Not Delayed,-4.0,Not Delayed
202306028333020,2023-06-02,VT,2023-06-02 07:43:00,2023-06-02 07:56:00,575.0,,,,,,2023-06-02 08:14:00,2023-06-02 08:34:00,2023-06-02 08:15:00,2023-06-02 08:37:00,575.0,,,,,,,,,,,2023-06-02 09:07:00,2023-06-02 09:22:00,2023-06-02 09:08:00,2023-06-02 09:24:00,575.0,2023-06-02 09:27:00,2023-06-02 09:41:00,2023-06-02 09:28:00,2023-06-02 09:43:00,575.0,2023-06-02 09:45:00,2023-06-02 09:59:00,2023-06-02 09:47:00,2023-06-02 10:01:00,575.0,2023-06-02 10:06:00,2023-06-02 10:19:00,575.0,13.0,Mild Delay,22.0,Moderate Delay,15.0,Moderate Delay,13.0,Mild Delay
202306028333021,2023-06-02,VT,2023-06-02 08:43:00,2023-06-02 08:43:00,,,,,,,2023-06-02 09:14:00,2023-06-02 09:13:00,2023-06-02 09:15:00,2023-06-02 09:16:00,,,,,,,,,,,,2023-06-02 10:07:00,2023-06-02 10:03:00,2023-06-02 10:08:00,2023-06-02 10:07:00,,2023-06-02 10:26:00,2023-06-02 10:25:00,2023-06-02 10:27:00,2023-06-02 10:27:00,,2023-06-02 10:44:00,2023-06-02 10:42:00,2023-06-02 10:46:00,2023-06-02 10:46:00,,2023-06-02 11:08:00,2023-06-02 11:02:00,,0.0,Not Delayed,1.0,Not Delayed,0.0,Not Delayed,-6.0,Not Delayed
202306028333022,2023-06-02,VT,2023-06-02 09:43:00,2023-06-02 09:55:00,648.0,,,,,,2023-06-02 10:14:00,2023-06-02 10:25:00,2023-06-02 10:15:00,2023-06-02 10:28:00,648.0,,,,,,,,,,,2023-06-02 11:08:00,2023-06-02 11:14:00,2023-06-02 11:09:00,2023-06-02 11:17:00,648.0,2023-06-02 11:27:00,2023-06-02 11:35:00,2023-06-02 11:28:00,2023-06-02 11:37:00,648.0,2023-06-02 11:45:00,2023-06-02 12:03:00,2023-06-02 11:47:00,2023-06-02 12:05:00,648.0,2023-06-02 12:08:00,2023-06-02 12:22:00,648.0,12.0,Mild Delay,13.0,Mild Delay,9.0,Mild Delay,14.0,Mild Delay
202306028333023,2023-06-02,VT,2023-06-02 10:43:00,2023-06-02 10:43:00,,,,,,,2023-06-02 11:14:00,2023-06-02 11:13:00,2023-06-02 11:15:00,2023-06-02 11:15:00,,,,,,,,,,,,2023-06-02 12:07:00,2023-06-02 12:02:00,2023-06-02 12:09:00,2023-06-02 12:08:00,,2023-06-02 12:27:00,2023-06-02 12:26:00,2023-06-02 12:28:00,2023-06-02 12:33:00,,2023-06-02 12:45:00,2023-06-02 12:48:00,2023-06-02 12:47:00,2023-06-02 12:50:00,,2023-06-02 13:08:00,2023-06-02 13:07:00,,0.0,Not Delayed,0.0,Not Delayed,5.0,Mild Delay,-1.0,Not Delayed
202306028333024,2023-06-02,VT,2023-06-02 11:43:00,2023-06-02 11:43:00,,,,,,,2023-06-02 12:14:00,2023-06-02 12:13:00,2023-06-02 12:15:00,2023-06-02 12:15:00,,,,,,,,,,,,2023-06-02 13:07:00,2023-06-02 13:07:00,2023-06-02 13:08:00,2023-06-02 13:08:00,,2023-06-02 13:27:00,2023-06-02 13:26:00,2023-06-02 13:28:00,2023-06-02 13:30:00,,2023-06-02 13:45:00,2023-06-02 13:45:00,2023-06-02 13:47:00,2023-06-02 13:48:00,,2023-06-02 14:08:00,2023-06-02 14:03:00,,0.0,Not Delayed,0.0,Not Delayed,2.0,Not Delayed,-5.0,Not Delayed
202306028333025,2023-06-02,VT,2023-06-02 12:43:00,2023-06-02 12:46:00,,,,,,,2023-06-02 13:14:00,2023-06-02 13:16:00,2023-06-02 13:15:00,2023-06-02 13:18:00,,,,,,,,,,,,2023-06-02 14:07:00,2023-06-02 14:06:00,2023-06-02 14:08:00,2023-06-02 14:09:00,,2023-06-02 14:26:00,2023-06-02 14:26:00,2023-06-02 14:27:00,2023-06-02 14:28:00,,2023-06-02 14:44:00,2023-06-02 14:43:00,2023-06-02 14:46:00,2023-06-02 14:46:00,,2023-06-02 15:08:00,2023-06-02 15:01:00,,3.0,Not Delayed,3.0,Not Delayed,1.0,Not Delayed,-7.0,Not Delayed
