feature,chi_squared_score
hour,7752.823235539591
is_first_station,6310.99919598817
month,4611.167023360347
station,3424.108406087475
is_terminus,1031.9502605250436
is_day,984.0442546054278
surface_pressure_bin,453.82015522730467
gust_bin,324.04146933696376
day,239.3019644875061
direction,146.22418317519725
temp_bin,9.585769141858945
snow_depth_bin,7.887515005527107
rain_bin,3.319338714949163
toc,
