feature,mutual_info_score
is_day,0.0451343265765074
snow_depth_bin,0.04202391509607217
station,0.02640832073396182
direction,0.025581550693331456
soil_temperature_0_to_7cm,0.02518155900795449
temperature_2m,0.023452805443539226
dew_point_2m,0.02249401249241534
surface_pressure_bin,0.022160671798412857
surface_pressure,0.021477575521152703
rain_bin,0.021070820611613472
temp_bin,0.020751893969402024
hour,0.020396414518727646
is_first_station,0.018951921072509315
relative_humidity_2m,0.016539967166966152
apparent_temperature,0.014993349551451374
month,0.011502914875945125
gust_bin,0.009839745224102359
cloud_cover,0.009108538658410437
day,0.007538832473599433
wind_direction_10m,0.006971935531822959
soil_moisture_0_to_7cm,0.005635512984470958
wind_speed_10m,0.005205873786351178
snow_depth,0.002471028425953703
rain,0.0022702139940598
wind_gusts_10m,0.002198439280337583
is_terminus,0.002063900634946103
snowfall,0.0006621998838196586
toc,0.00041495120772472305
