feature,chi_squared_score
hour,19583.558040536478
is_first_station,11718.11150313373
direction,4047.1966317847055
month,2604.3405229945924
is_day,2377.65382673735
is_terminus,1498.2187921448765
station,849.9895145524181
day,22.676776186451427
toc,
