Feature,F_score
snow_depth,318.2940155322996
temperature_2m,200.69594533197625
apparent_temperature,172.15196502535568
rain,73.92834298149438
snowfall,30.11146739842172
wind_speed_10m,14.206271499112873
cloud_cover,9.263257200427459
wind_gusts_10m,8.769100469505691
